"FOLIO","SEXO","OPC_ED01"
12646246,"H","S715000"
12646277,"M","S575020"
12648728,"M","S477070"
12713416,"H","S763000"
12713861,"H","S574015"
12715688,"M","S134313"
12715960,"M","S132313"
12720544,"M","S473044"
12721310,"H","S477070"
12721623,"H","S477039"
12722565,"H","S458044"
12726364,"M","S132313"
12736845,"M","S846000"
12738106,"M","S477070"
12742054,"M","S724000"
12743393,"H","S477070"
12746273,"M","S715000"
12748787,"M","S711000"
12749401,"M","S763000"
12807919,"H","S574015"
12818440,"M","S575020"
12820881,"M","S477039"
12824901,"M","S458044"
12825085,"H","S715000"
12825404,"M","S477070"
12827812,"M","S473044"
12830613,"H","S573013"
12831584,"M","S477070"
12833708,"H","S134313"
12836527,"M","S132313"
12912181,"M","S477070"
12919053,"H","S477046"
12929888,"H","S715000"
12930085,"M","S473044"
12934110,"M","S132313"
12934349,"M","S573013"
12934945,"M","S715000"
12936542,"M","S132313"
12947335,"H","S715000"
12948556,"H","S724000"
13009388,"H","S571086"
13012324,"H","S574087"
13014359,"H","S132313"
13017132,"H","S134313"
13018891,"M","S134313"
13028716,"M","S477035"
13030985,"M","S458044"
13032701,"M","S477070"
13033169,"M","S458044"
13037311,"H","S711000"
13043838,"M","S477035"
13114727,"H","S477070"
13122566,"M","S724000"
13123282,"H","S054000"
13128458,"H","S134313"
13128573,"M","S575094"
13128912,"H","S134311"
13131416,"H","S846000"
13140556,"H","S715000"
13144972,"M","S715000"
13148956,"H","S473044"
13201044,"M","S458044"
13203102,"H","S132313"
13203355,"M","S132313"
13207188,"M","S054000"
13207720,"H","S575020"
13211614,"H","S477070"
13214079,"M","S132313"
13217042,"H","S574087"
13220540,"M","S477070"
13221044,"M","S477039"
13225410,"M","S477070"
13226484,"M","S473044"
13239421,"M","S054000"
13240597,"M","S724000"
13242939,"H","S724000"
13248661,"H","S477070"
13248948,"M","S574015"
13300890,"M","S573013"
13303957,"M","S132313"
13306088,"H","S573013"
13306820,"H","S134313"
13308627,"H","S477070"
13309418,"H","S846000"
13311645,"M","S763000"
13312177,"M","S132313"
13319460,"H","S715000"
13329205,"M","S574015"
13342413,"M","S134313"
13345010,"M","S132313"
13400222,"M","S724000"
13403274,"H","S477070"
13421363,"M","S458044"
13422517,"M","S575020"
13423171,"M","S574015"
13427471,"M","S477035"
13427970,"M","S132313"
13429278,"M","S715000"
13432756,"M","S715000"
13434643,"M","S724000"
13436972,"M","S575094"
13439915,"H","S132313"
13440862,"M","S477035"
13441037,"H","S132313"
13441195,"H","S458044"
13446755,"H","S711000"
13447831,"H","S724000"
13512626,"M","S477035"
13513823,"H","S467092"
13515366,"M","S724000"
13516435,"M","S477070"
13516988,"M","S477035"
13526407,"M","S477035"
13528972,"M","S715000"
13533742,"M","S715000"
13537609,"M","S473044"
13539528,"H","S763000"
13539591,"H","S715000"
13541921,"M","S458044"
13546302,"M","S477070"
13603694,"M","S132313"
13606351,"H","S473044"
13608379,"M","S763000"
13608902,"H","S132313"
13620019,"M","S477070"
13620685,"M","S477039"
13623834,"H","S573013"
13628839,"M","S554013"
13643740,"M","S724000"
13701038,"M","S724000"
13705672,"H","S574015"
13717577,"H","S463070"
13718708,"M","S574015"
13725537,"H","S711000"
13732049,"M","S477035"
13746741,"M","S132313"
13746790,"M","S715000"
13747257,"M","S456036"
13749075,"H","S574087"
13801175,"M","S715000"
13803440,"H","S567060"
13807593,"H","S763000"
13824452,"M","S846000"
13826290,"M","S132313"
13826492,"M","S132313"
13905373,"H","S724000"
13912930,"M","S132313"
13914557,"M","S715000"
13915254,"H","S132302"
13916073,"M","S846000"
13926841,"M","S575094"
13927954,"M","S711000"
13931011,"H","S715000"
13933116,"M","S134313"
13935477,"H","S477070"
13939000,"H","S711000"
13943380,"M","S711000"
13945137,"H","S574087"
14009890,"M","S477070"
14014564,"M","S477070"
14023720,"M","S463070"
14026012,"M","S477035"
14026967,"M","S132313"
14031364,"M","S132313"
14032017,"M","S846000"
14041852,"M","S574087"
14043556,"H","S458044"
14044237,"H","S715000"
14046665,"H","S554013"
14048401,"H","S132313"
19800001,"M","S846000"
19800081,"M","S724000"
19800119,"H","S477046"
19800276,"H","S715000"
19800303,"H","S456036"
19800307,"M","S477046"
19800357,"H","S715000"
19800367,"H","S132313"
19800463,"M","S132313"
19800605,"H","S711000"
19800649,"M","S458044"
19800740,"M","S132313"
19801162,"H","S573087"
19801189,"H","S477070"
19801540,"M","S574015"
19801570,"M","S705000"
19801627,"M","S705000"
19801868,"H","S477046"
19801970,"H","S846000"
19801995,"M","S715000"
19802022,"H","S458044"
19802133,"M","S846000"
19802217,"H","S575094"
19802349,"M","S715000"
19802403,"H","S574015"
19802475,"H","S574015"
19802502,"M","S575020"
19802546,"M","S574087"
19802556,"H","S763000"
19802607,"H","S477070"
19802858,"M","S715000"
19803066,"M","S711000"
19803147,"M","S132313"
19803282,"M","S715000"
19803379,"H","S573087"
19803402,"M","S477070"
19803468,"M","S458044"
19803497,"M","S477070"
19803503,"H","S134313"
19803564,"H","S477046"
19803566,"M","S477070"
19803620,"M","S477070"
19803770,"M","S134313"
19803853,"M","S575020"
19803924,"M","S477070"
19803992,"M","S574015"
19804102,"M","S132313"
19804145,"H","S724000"
19804172,"M","S473044"
19804351,"M","S134313"
19804371,"H","S132313"
19804455,"M","S477070"
19804850,"H","S132302"
19805003,"M","S574015"
19805160,"M","S715000"
19805840,"H","S575094"
20100242,"M","S132313"
20101114,"M","S477035"
20200576,"M","S132302"
20201061,"H","S054000"
20201306,"H","S711000"
20201739,"H","S715000"
20201862,"M","S134313"
20202006,"H","S715000"
20202076,"M","S464044"
20202085,"M","S711000"
20202313,"M","S763000"
20202422,"H","S715000"
20202433,"H","S711000"
20202615,"M","S134313"
80100603,"H","S711000"
90105798,"H","S715000"
90403333,"M","S763000"
90507559,"M","S574087"
109904443,"M","S763000"
140101301,"H","S805000"
140200262,"M","S473044"
140401525,"H","S473044"
170207485,"H","S134313"
170303557,"H","S724000"
170603243,"M","S473044"
170605521,"M","S473044"
170708560,"M","S575094"
190401947,"H","S574015"
200201908,"H","S724000"
210102990,"M","S575094"
210104016,"M","S575094"
210201401,"M","S134313"
210201417,"M","S575094"
210204165,"M","S575094"
210204170,"M","S575020"
210204761,"H","S724000"
210204801,"M","S134313"
210302024,"M","S724000"
210303008,"M","S575094"
210304749,"M","S458044"
210401391,"H","S575020"
210403381,"M","S575020"
210403824,"H","S575094"
210404045,"H","S575094"
210404695,"M","S575020"
210500246,"H","S575094"
210501042,"H","S575020"
240100834,"M","S473044"
240400808,"M","S805000"
250101661,"M","S054000"
260203530,"H","S134313"
270100205,"M","S705000"
270100260,"M","S715000"
270100341,"H","S567060"
270100529,"M","S705000"
270100900,"M","S705000"
270101101,"H","S567060"
270101265,"M","S715000"
270101693,"M","S705000"
270101777,"M","S567060"
270102191,"H","S705000"
270102202,"H","S705000"
270102460,"H","S705000"
270102658,"H","S567087"
270102903,"M","S134313"
270103007,"H","S705000"
270103828,"M","S705000"
270103868,"H","S705000"
270103955,"M","S705000"
270104185,"M","S567060"
270104391,"M","S705000"
270104501,"M","S705000"
270104703,"H","S705000"
270105884,"M","S705000"
270106466,"H","S567087"
270106606,"M","S705000"
270106641,"M","S705000"
270106744,"M","S132313"
