"FOLIO","SEXO","OPC_ED01"
330104245,"H","S054000"
310409866,"H","S054000"
330202630,"H","S054000"
330407707,"H","S054000"
330104416,"H","S054000"
330501673,"H","S054000"
330108149,"H","S054000"
330507721,"H","S054000"
330500105,"H","S054000"
330201723,"H","S054000"
330308085,"H","S054000"
330105580,"H","S054000"
310202947,"H","S054000"
330506451,"H","S054000"
330104558,"H","S054000"
330302716,"H","S054000"
330107184,"H","S054000"
330501051,"H","S054000"
330400008,"H","S054000"
330101753,"H","S054000"
330303359,"H","S054000"
330208787,"H","S054000"
310503484,"H","S054000"
310208942,"H","S054000"
330108384,"H","S054000"
310202018,"H","S054000"
311005187,"H","S054000"
330102839,"H","S054000"
330205753,"H","S054000"
330308549,"H","S054000"
330503808,"H","S054000"
13517363,"H","S054000"
330407356,"H","S054000"
330200299,"H","S054000"
310704839,"H","S054000"
330205308,"H","S054000"
330401932,"H","S054000"
330407550,"H","S054000"
330200776,"H","S054000"
330503348,"H","S054000"
330101997,"H","S054000"
330408288,"H","S054000"
339008810,"H","S054000"
310409148,"H","S054000"
330202497,"H","S054000"
310401222,"H","S054000"
330107913,"H","S054000"
330108377,"H","S054000"
330400797,"H","S054000"
330505544,"H","S054000"
330104508,"H","S054000"
310701756,"H","S054000"
330106115,"H","S054000"
10543745,"H","S054000"
330501095,"H","S054000"
330200739,"H","S054000"
330207628,"H","S054000"
330307560,"H","S054000"
330507145,"H","S054000"
330507587,"H","S054000"
330302752,"H","S054000"
330400252,"H","S054000"
310703168,"H","S054000"
330303185,"H","S054000"
330307897,"H","S054000"
330104117,"H","S054000"
330506846,"H","S054000"
330503759,"H","S054000"
330103730,"H","S054000"
330507691,"H","S054000"
330404412,"H","S054000"
330108083,"H","S054000"
330100521,"H","S054000"
330300405,"H","S054000"
330600282,"H","S054000"
330500491,"H","S054000"
330504857,"H","S054000"
310302269,"H","S054000"
330101342,"H","S054000"
330501853,"H","S054000"
330502966,"H","S054000"
330304785,"H","S054000"
12426316,"H","S054000"
330107855,"H","S054000"
330302405,"H","S054000"
330101540,"H","S054000"
330504420,"H","S054000"
330505662,"H","S054000"
330506935,"H","S054000"
330502568,"H","S054000"
310400119,"H","S054000"
310410689,"H","S054000"
13518973,"H","S054000"
330402613,"H","S054000"
330306462,"H","S054000"
330300332,"H","S054000"
330105359,"H","S054000"
330107477,"H","S054000"
330408277,"H","S054000"
330507622,"H","S054000"
330204735,"H","S054000"
330300330,"H","S054000"
330108322,"H","S054000"
330107474,"H","S054000"
330208573,"H","S054000"
310702539,"H","S054000"
330207816,"H","S054000"
330408483,"H","S054000"
311002045,"H","S054000"
330205861,"H","S054000"
330502572,"H","S054000"
330200177,"H","S054000"
330301869,"H","S054000"
330507598,"H","S054000"
290803581,"M","S132302"
12444804,"M","S132302"
290406218,"M","S132302"
290205227,"M","S132302"
270605296,"M","S132302"
290805269,"M","S132302"
281006606,"M","S132302"
350107176,"M","S132302"
11635287,"M","S132302"
14034259,"M","S132302"
13613533,"M","S132302"
290302768,"M","S132302"
290801900,"M","S132302"
13932932,"M","S132302"
280510587,"M","S132302"
290302081,"M","S132302"
290703372,"M","S132302"
290302518,"M","S132302"
13839508,"M","S132302"
280304213,"M","S132302"
290604123,"M","S132302"
280707349,"M","S132302"
290304628,"M","S132302"
13740686,"M","S132302"
290301919,"M","S132302"
270309664,"M","S132302"
290400659,"M","S132302"
290803456,"M","S132302"
290305820,"M","S132302"
12048124,"M","S132302"
290301407,"M","S132302"
290105019,"M","S132302"
340505002,"M","S132302"
280105992,"M","S132302"
290207579,"M","S132302"
270700825,"M","S132302"
290503398,"M","S132302"
290104348,"M","S132302"
290507629,"M","S132302"
290503078,"M","S132302"
281006014,"M","S132302"
11009053,"M","S132302"
280709506,"M","S132302"
270200852,"M","S132302"
290608235,"M","S132302"
290409397,"M","S132302"
290302494,"M","S132302"
290808625,"M","S132302"
270804438,"M","S132302"
290808564,"M","S132302"
290408764,"M","S132302"
270807602,"M","S132302"
290404713,"M","S132302"
290107152,"M","S132302"
290103425,"M","S132302"
290201956,"M","S132302"
20201263,"M","S132302"
290702732,"M","S132302"
280207247,"M","S132302"
290609014,"M","S132302"
290408741,"M","S132302"
290306416,"M","S132302"
290208343,"M","S132302"
12343572,"M","S132302"
290507334,"M","S132302"
290103001,"M","S132302"
12127268,"M","S132302"
280800748,"M","S132302"
12109109,"M","S132302"
290805144,"M","S132302"
290403038,"M","S132302"
290708439,"M","S132302"
290407032,"M","S132302"
290702203,"M","S132302"
290808652,"M","S132302"
290305157,"M","S132302"
290603778,"M","S132302"
280203727,"M","S132302"
12348426,"M","S132302"
290305022,"M","S132302"
290700619,"M","S132302"
280607340,"M","S132302"
10240902,"M","S132302"
290203086,"M","S132302"
290802285,"M","S132302"
280210131,"M","S132302"
19802621,"M","S132302"
11731118,"M","S132302"
270410228,"M","S132302"
290803227,"M","S132302"
280508416,"M","S132302"
280805798,"M","S132302"
270203954,"M","S132302"
280907620,"M","S132302"
290602277,"M","S132302"
290403783,"M","S132302"
290200547,"M","S132302"
290805206,"M","S132302"
12440781,"M","S132302"
11521678,"M","S132302"
299900266,"M","S132302"
19800066,"M","S132302"
10332045,"M","S132302"
281001042,"M","S132302"
13346131,"M","S132302"
270510126,"M","S132302"
280900495,"M","S132302"
290108391,"M","S132302"
280208137,"M","S132302"
270706530,"M","S132302"
290407580,"M","S132302"
280406810,"M","S132302"
290302864,"M","S132302"
10917729,"M","S132302"
280505016,"M","S132302"
12838256,"M","S132302"
12722801,"M","S132302"
281008312,"M","S132302"
340500660,"M","S132302"
280401811,"M","S132302"
270310417,"M","S132302"
280510276,"M","S132302"
290704487,"M","S132302"
290302156,"M","S132302"
270809667,"M","S132302"
290302826,"M","S132302"
290109402,"M","S132302"
290308535,"M","S132302"
290407812,"H","S132302"
12609246,"H","S132302"
290606545,"H","S132302"
290802767,"H","S132302"
290508536,"H","S132302"
290702788,"H","S132302"
340302035,"H","S132302"
290205439,"H","S132302"
280704810,"H","S132302"
290400735,"H","S132302"
290401083,"H","S132302"
290600426,"H","S132302"
290407040,"H","S132302"
290803083,"H","S132302"
290805798,"H","S132302"
290400990,"H","S132302"
270405829,"H","S132302"
280211301,"H","S132302"
290505847,"H","S132302"
299900340,"H","S132302"
290404662,"H","S132302"
11107428,"H","S132302"
290303454,"H","S132302"
419901721,"H","S132302"
290101268,"H","S132302"
290304532,"H","S132302"
290304078,"H","S132302"
290601586,"H","S132302"
290502170,"H","S132302"
10947760,"H","S132302"
290401089,"H","S132302"
280403360,"H","S132302"
13203921,"H","S132302"
290404458,"H","S132302"
270701034,"H","S132302"
11737887,"H","S132302"
280302454,"H","S132302"
290405888,"H","S132302"
290104275,"H","S132302"
290407809,"H","S132302"
299900416,"H","S132302"
290606584,"H","S132302"
290603133,"H","S132302"
280903340,"H","S132302"
290507003,"H","S132302"
290301694,"H","S132302"
280309467,"H","S132302"
290400856,"H","S132302"
12312755,"H","S132302"
10141225,"H","S132302"
280904640,"H","S132302"
13715634,"H","S132302"
280211118,"H","S132302"
280903412,"H","S132302"
290506151,"H","S132302"
280905045,"H","S132302"
290605432,"H","S132302"
290305796,"H","S132302"
