"","FOLIO","SEXO","OPC_ED01"
"613","011610545","M","S458044"
"614","011611316","M","S477035"
"615","011611653","M","S574087"
"616","011612538","M","S715000"
"617","011613165","M","S458044"
"618","011613872","M","S715000"
"619","011614157","M","S715000"
"620","011614641","H","S571086"
"621","011614684","H","S132302"
"622","011616069","H","S473044"
"623","011616923","H","S763000"
"624","011617707","H","S711000"
"625","011618386","H","S132313"
"626","011618461","M","S763000"
"627","011619883","H","S132313"
"628","011621060","M","S477035"
"629","011621409","M","S705000"
"630","011621578","M","S724000"
"631","011623043","M","S477035"
"632","011623851","M","S456036"
"633","011624706","M","S846000"
"634","011625937","M","S715000"
"635","011629852","H","S477046"
"636","011629902","M","S763000"
"637","011629936","H","S467092"
"638","011630328","H","S132313"
"639","011630877","M","S846000"
"640","011635287","M","S132302"
"641","011635413","M","S134313"
"642","011636216","M","S477070"
"643","011637319","M","S574015"
"644","011638195","M","S132313"
"645","011638243","H","S763000"
"646","011641837","M","S846000"
"647","011641868","H","S571086"
"648","011642604","H","S567087"
"649","011646012","H","S132313"
"650","011646345","M","S477035"
"651","011646686","H","S477046"
"652","011648274","H","S575020"
"653","011649552","H","S763000"
"654","011706504","H","S134313"
"655","011706881","M","S763000"
"656","011708666","M","S724000"
"657","011710073","H","S477070"
"658","011710099","M","S458044"
"659","011710669","M","S477070"
"660","011711138","M","S463070"
"661","011711468","M","S134313"
"662","011711600","M","S473044"
"663","011714251","H","S573013"
"664","011715041","M","S724000"
"665","011715153","M","S458044"
"666","011715557","M","S477035"
"667","011716003","M","S458044"
"668","011716018","M","S715000"
"669","011716653","M","S477046"
"670","011717168","H","S477039"
"671","011719252","H","S715000"
"672","011719541","H","S463070"
"673","011720646","M","S477070"
"674","011721305","H","S477046"
"675","011721325","M","S132313"
"676","011724152","M","S763000"
"677","011724616","M","S805000"
"678","011726069","M","S724000"
"679","011726263","H","S574087"
"680","011727726","M","S473044"
"681","011729782","M","S574015"
"682","011729842","M","S715000"
"683","011730951","M","S573013"
"684","011731118","M","S132302"
"685","011731652","H","S473044"
"686","011732385","M","S574015"
"687","011732963","H","S132313"
"688","011733799","M","S825000"
"689","011734198","M","S054000"
"690","011734632","H","S054000"
"691","011735806","M","S846000"
"692","011736373","M","S458044"
"693","011736430","M","S715000"
"694","011737115","M","S464044"
"695","011737887","H","S132302"
"696","011738037","M","S709000"
"697","011738165","M","S705000"
"698","011739085","H","S132302"
"699","011739151","M","S134313"
"700","011740070","M","S054000"
"701","011743234","M","S554013"
