industry_id,Aguascalientes,Baja California,Baja California Sur,CDMX,Campeche,Chiapas,Chihuahua,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico,Michoacan,Morelos,Nayarit,Nuevo Leon,Oaxaca,Puebla,Queretaro,Quintana Roo,San Luis Potosi,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas,Año
"11. Agricultura, ganadería, aprovechamiento forestal, pesca y caza (solo pesca y acuicultura animal)",0.04539233813251778,0.9639030976520242,5.145408255907349,0.003965346770631551,6.358035180959004,2.984396618849555,0.12283014852509838,0.05346699552861289,1.536175929970452,0.1158292317015611,0.19268693669358317,4.796744853265345,0.438558832497165,0.29508938586832434,0.0783439190662307,1.6034157778252893,0.45757290532228145,5.688331755223418,0.015849551785081947,2.151156504597624,0.1333825541104733,0.04461050867160598,0.6499409005076177,0.12334491424389767,6.548703608026208,3.364395834949841,4.987133612466011,1.0596781189718432,0.3147845017261908,2.3406618759373217,2.4959362640032454,0.2478568579588831,2013
21. Minería,0.25118885127115015,0.06462530104751164,3.301327902242625,0.1315208485643532,11.972938438924258,1.3252258411762525,1.7292235998927292,2.5471663354828733,2.5982290950587297,4.795319840650879,0.4434300334687528,1.3768478405241904,1.359520827673766,0.19894121189217143,0.17683761466737577,0.5848285181699526,0.17330506911210075,0.0,0.24592804550404807,0.3779976033924111,0.0,0.7175055857351036,0.1340448557340358,1.2948501413334952,0.5940657089903577,3.93785364745406,7.950459541412119,0.0,0.10187416197337172,2.0731370313535384,0.0,9.819767323771435,2013
"22. Electricidad, agua y suministro de gas por ductos al consumidor final",0.5129357929292987,0.5205040993463854,1.0092145147710698,3.065605228058063,0.4668724476833217,0.7463427187247956,0.5707984715626047,0.4559967899096536,0.7626778489256308,0.6045148524046582,0.5080713906953075,1.011975053529494,0.8438164334480276,0.5154546610461443,0.7718821097445492,0.689956504365746,0.8765169888043182,0.7494806726722211,0.4286892642635393,1.0084910441194759,0.0,0.4640190053738454,0.49613454615427915,0.0,0.8989971207535952,0.5983031375432206,1.0330221914748654,0.9287132165697893,0.4259244680214226,0.7341844184678369,0.0,0.0,2013
23. Construcción,1.465960664338201,0.8166406269793779,1.1773292443352759,0.9672764702664368,2.029996951869839,1.0631922131135678,0.793394601211685,0.8331699435169468,1.965713779535437,1.2074747371021415,0.9706880689023406,0.53379366022291,1.145889292750228,1.0291032315525033,0.38456250576471773,0.8679558419991114,0.6061536758347109,1.6142135513956768,1.1520624227143699,1.0046291247811598,0.7783785650142387,1.1204848349789565,0.8180565049166909,1.293952283981538,1.4180613204011743,1.5940485270936902,1.8805519467684775,1.0844928696086813,0.8003402456923084,1.1746759563651639,1.5331840588195602,1.4295409165181325,2013
31-33. Industrias manufacturera,1.3813668952001472,1.7439525652520294,0.29952816136805843,0.42576721765808206,0.404849173620596,0.5271152371767555,1.98172946642806,1.7293481974779878,0.46859554510482415,1.1667045242391663,1.36924288528992,0.6218106429920172,1.0905201370483595,1.0606560582564886,1.1186423871739253,0.7408170440957559,0.7704980043968058,0.4203418039757905,1.284079438398934,0.7384379469234853,1.1753229829811973,1.520824731592499,0.16986583074447226,1.270733500687321,0.5513453659650532,1.2069189576656174,0.4114026200819642,1.4974798225390251,1.412436719623716,0.6643515898875719,0.8895758320510289,0.7842099783922959,2013
43. Comercio al por mayor,1.0431602389541066,0.8389798850369429,1.0400954622475922,0.9830558431830839,0.774872316469636,1.0561700428538974,0.803468209025734,0.7270179919021533,1.0005865275596633,1.0751375832683878,0.9694999509857599,0.8857878889482337,0.8224653865141515,1.2709364702792578,0.9928775378985439,1.2613121161247383,0.8210296152077957,0.8939450394200197,1.1779528603071026,0.8263994197297627,0.943431780151198,1.0756492378129172,0.7528241671896686,1.077254346007729,1.292774731509553,1.070761745551929,1.1390099482869267,0.7919427483874187,0.5407962613666079,1.0352201168267081,1.0083455573882634,1.1108543654202256,2013
46. Comercio al por menor,0.9127079865145756,0.7324191054999328,1.0155709002873647,0.6767143497153266,0.8782047414873947,1.5005676936145997,0.7628094360587385,0.7808434421059678,1.100136431407914,1.023309823537491,1.0003827459561716,1.3973649845835145,1.190755316738511,1.0697205414388937,1.3131666956951074,1.3695066768273643,1.283471866952177,1.2113782792659813,0.6848644391716118,1.4556659771660734,1.2257964007098008,0.7848610040483402,0.933673426088724,0.9906086267554947,1.1373924062830296,0.8399469737379105,1.214692677537289,0.8943415346248271,1.3148831800546072,1.3091252681217609,1.0438770823634094,1.2932729694360536,2013
"48-49. Transportes, correos y almacenamiento",0.7544448702783608,0.5464828173960223,1.0205091318377957,1.3411582999079474,2.7555124855490547,0.8996502943998138,0.7556355647558036,0.6024667550433865,1.7218807643664913,1.2931219423514904,0.8902412850188207,0.9187550275752047,0.858331832048787,0.680545591708768,0.9296201169035364,0.8053164840831151,1.053438418987481,0.596342328496143,1.3031667952283659,0.7191697163082946,0.6814324026655179,0.7697820804162588,0.9274616167415746,0.7482627411499707,1.5305012857273246,0.7602582025864768,0.9612745818955777,1.678678381637099,0.3917578505640246,1.196877938922936,0.7631821424103069,0.5783677167436687,2013
51. Información en medios masivos,0.6296859961489848,0.48511735909482273,0.6192058041167681,2.74179037871793,0.8695213181994161,0.5796708156696379,0.948341909303878,0.8128090752312892,0.5610278655339722,0.39938485536323354,0.37554444664008796,0.49304503319974574,0.4274774869454942,0.9747143272687361,0.3476568166940845,0.5630546768047698,0.7391572277388373,0.37351427067716925,0.8861446364874933,0.5035482138934729,0.5889979616626924,1.2131917235588274,0.5957363136679323,0.42943660404182776,0.7959055603783474,0.5990278855047546,0.7542725813278836,0.6053668802564415,0.34368328937358766,0.6724979118448199,0.8614185848934731,0.7588687289613446,2013
52.Servicios financieros y de seguros,0.23591985311770958,0.25368078506838193,0.19789112306451842,3.936553163082071,0.3063465961218547,0.45229152273586776,0.2119492456435724,0.18475874297691466,0.29209135668408587,0.2179591664570053,0.6293916092206008,0.2873236841382489,0.24446263690723405,0.3214525256960273,0.18887198234499095,0.446699796082512,0.43995478997372034,0.38885870456683497,1.5538620876578397,0.5432505135863466,0.28968201446024755,0.3353977460238584,0.21545249960646015,0.3060179882348981,0.31738655986843506,0.31575527443318613,0.2920469454834819,0.22318707184874192,0.1901162479641319,0.33812671716590975,0.46231527597311217,0.21866535261257755,2013
